epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,736.76,0.61505,0.9874,1,0.04434,0.000332845,0.000332845,0.000332845
2,1500.56,0.15563,0.99259,1,0.02923,0.000600226,0.000600226,0.000600226
3,2184.97,0.11762,0.99481,1,0.01493,0.000801608,0.000801608,0.000801608
4,2881.12,0.0954,0.99889,1,0.00635,0.000703,0.000703,0.000703
5,3609.47,0.07059,0.99926,1,0.00328,0.000604,0.000604,0.000604
6,4837.19,0.04888,0.99963,1,0.00383,0.000505,0.000505,0.000505
7,5708.55,0.04015,1,1,0.00153,0.000406,0.000406,0.000406
8,6557.44,0.02968,0.99926,1,0.00262,0.000307,0.000307,0.000307
9,7419.69,0.0273,1,1,0.00094,0.000208,0.000208,0.000208
10,8290.44,0.02159,1,1,0.00069,0.000109,0.000109,0.000109
